Frame,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz
429960,-0.0953076,0.8787714,0.1256285,-0.4504384,-69.97,-3.048,4.87,0.0103802,0.6651946,0.7464179,0.0163931,-83.744,-7.061,-52.02,0.6837961,-0.6655853,0.1675245,0.2476988,47.173,4.547,-376.999,0.0467095,0.4498427,-0.891547,-0.0245692,-177.877,27.552,171.826
429968,-0.0950918,0.8787251,0.1256496,-0.4505685,-69.975,-3.149,4.879,0.0108649,0.6651848,0.7464332,0.0157683,-83.812,-7.248,-51.949,0.6842402,-0.6649737,0.1678713,0.24788,47.112,4.514,-377.23,0.0467928,0.449469,-0.8917729,-0.0230034,-177.892,27.743,171.849
429976,-0.0949955,0.8786085,0.1256312,-0.4508212,-69.943,-3.215,4.789,0.0110078,0.6653472,0.7462988,0.015163,-83.888,-7.47,-52.079,0.6845583,-0.664626,0.1677945,0.2479862,47.096,4.641,-377.306,0.047107,0.4494973,-0.8917515,-0.022634,-177.89,27.753,171.789
429984,-0.0951384,0.878593,0.1257835,-0.4507788,-69.81,-3.204,4.812,0.0111506,0.6654706,0.7461904,0.0149807,-83.711,-7.421,-52.12,0.6846779,-0.6644797,0.1678916,0.2479824,47.012,4.661,-377.081,0.0470393,0.4493877,-0.8918244,-0.022073,-177.702,27.947,171.722
429992,-0.0951772,0.8785311,0.1263589,-0.4507304,-69.791,-3.12,4.888,0.0112785,0.6652771,0.7463665,0.014703,-83.607,-7.265,-52.144,0.6849276,-0.6641704,0.1679472,0.2480841,46.966,4.731,-376.947,0.0466205,0.4493106,-0.891901,-0.0214262,-177.578,28.088,171.789
430000,-0.0948295,0.8784083,0.1263946,-0.4510329,-69.86,-3.206,4.828,0.0114232,0.6651897,0.7464534,0.0141213,-83.761,-7.402,-52.15,0.6853716,-0.663702,0.1678355,0.248187,47.004,4.832,-377.134,0.0467943,0.4494189,-0.89185,-0.0208918,-177.66,28.157,171.856
430008,-0.0948041,0.8782435,0.1265843,-0.4513059,-69.851,-3.206,4.78,0.0112517,0.6650188,0.7466169,0.0136597,-83.891,-7.637,-52.234,0.6856133,-0.6635606,0.1673837,0.2482022,47.08,4.98,-377.191,0.0471972,0.449753,-0.891658,-0.0209913,-177.652,28.124,171.892
430016,-0.095255,0.878296,0.1269711,-0.451,-69.736,-3.101,4.837,0.0109886,0.6650067,0.7466237,0.0140854,-83.679,-7.424,-52.279,0.6852973,-0.6639344,0.16731,0.2481251,47.046,4.974,-376.965,0.0467502,0.4498764,-0.8916181,-0.0210434,-177.575,28.077,171.835
430024,-0.0953654,0.8782688,0.1272075,-0.450963,-69.75,-3.073,4.843,0.0107109,0.6647457,0.7468571,0.0142468,-83.667,-7.257,-52.296,0.6852054,-0.6641064,0.1670402,0.2481004,47.103,5.028,-376.9,0.0464796,0.4501331,-0.8915005,-0.0211345,-177.593,27.978,171.866
430032,-0.0952741,0.8782462,0.1270816,-0.4510617,-69.746,-3.101,4.816,0.0105828,0.6647525,0.7468564,0.0140606,-83.697,-7.383,-52.315,0.6852495,-0.6640056,0.1669646,0.2482994,47.043,5.094,-377.028,0.0462998,0.4501939,-0.8914718,-0.0214439,-177.577,27.92,172.01
430040,-0.0957413,0.878186,0.1274251,-0.4509832,-69.817,-3.13,4.814,0.0100137,0.6645141,0.7470685,0.0144675,-83.874,-7.458,-52.365,0.6848255,-0.6646088,0.1664542,0.2481979,47.197,5.116,-377.178,0.0457413,0.450492,-0.8913293,-0.0222879,-177.744,27.469,172.183
430048,-0.0958845,0.8781724,0.1275797,-0.4509355,-69.881,-3.081,4.8,0.009522,0.6642219,0.7473239,0.0150204,-83.861,-7.333,-52.43,0.6844415,-0.6652316,0.1659702,0.2479127,47.314,5.146,-377.034,0.0454593,0.451066,-0.8910303,-0.0231931,-177.814,27.233,172.167
430056,-0.0959457,0.8782614,0.127651,-0.4507288,-69.901,-3.029,4.867,0.0093493,0.6640825,0.7474431,0.0153537,-83.806,-7.132,-52.39,0.6842311,-0.6654722,0.165964,0.2478517,47.326,5.088,-376.956,0.0453382,0.4512737,-0.8909122,-0.0239162,-177.857,27.245,172.218
430064,-0.0962474,0.8782859,0.1278123,-0.4505712,-70.013,-3.036,4.829,0.0089718,0.6640616,0.7474525,0.0160122,-83.942,-7.184,-52.353,0.6837657,-0.6660046,0.1657877,0.247824,47.414,5.063,-377.115,0.0449478,0.4514112,-0.8908321,-0.0250162,-178.043,26.922,172.321
430072,-0.0966434,0.8783663,0.1274093,-0.4504438,-70.033,-3.131,4.763,0.0085018,0.6639773,0.7475163,0.0167726,-84.049,-7.283,-52.374,0.6831352,-0.6667573,0.1655442,0.2477016,47.497,5.026,-377.283,0.0445777,0.4516152,-0.8907125,-0.026225,-178.232,26.472,172.369
430080,-0.096802,0.8785202,0.1269421,-0.4502413,-69.993,-3.061,4.754,0.0081504,0.6639911,0.7474903,0.0175369,-83.953,-7.144,-52.384,0.6825813,-0.6674275,0.1654161,0.2475091,47.529,4.956,-377.158,0.0444347,0.4517356,-0.890638,-0.0269162,-178.237,26.326,172.268
430088,-0.0970409,0.8786846,0.1271917,-0.4497986,-70.06,-2.962,4.869,0.0080102,0.6638635,0.7475856,0.0183566,-83.9,-6.889,-52.292,0.6820937,-0.6679591,0.1655634,0.2473209,47.549,4.801,-377.059,0.0438682,0.4520305,-0.8904752,-0.0282474,-178.397,26.189,172.363
430096,-0.096893,0.8786303,0.1268762,-0.4500255,-70.135,-3.014,4.783,0.0079941,0.6637429,0.7476961,0.0182178,-84.075,-6.932,-52.297,0.6821733,-0.667846,0.1655222,0.2474343,47.6,4.853,-377.195,0.0441245,0.4519925,-0.8904635,-0.0288181,-178.453,26.199,172.431
430104,-0.0970825,0.8786318,0.1268711,-0.4499831,-70.216,-3.062,4.726,0.0078465,0.6639298,0.7475205,0.0186752,-84.194,-7.068,-52.277,0.6818364,-0.668239,0.165468,0.2473381,47.655,4.801,-377.314,0.0441512,0.4520006,-0.8904338,-0.0295593,-178.556,25.99,172.42
430112,-0.0969697,0.8787729,0.1266095,-0.4498055,-70.24,-3.005,4.781,0.0078676,0.6639963,0.7474529,0.019007,-84.166,-6.961,-52.239,0.6816404,-0.6684901,0.1655626,0.2471364,47.692,4.684,-377.213,0.0442045,0.4519068,-0.89047,-0.0298238,-178.559,25.957,172.358
430120,-0.0968391,0.8789088,0.1264094,-0.4496245,-70.189,-2.923,4.829,0.0081786,0.664177,0.7472842,0.0191903,-84.033,-6.819,-52.152,0.6816137,-0.6683924,0.1660382,0.2471553,47.583,4.564,-377.103,0.0441528,0.4514364,-0.8907214,-0.029513,-178.438,26.141,172.304
430128,-0.0969287,0.8788958,0.1266686,-0.4495577,-70.195,-2.936,4.86,0.0084134,0.6644722,0.7470205,0.0191354,-84.007,-6.837,-52.038,0.6817358,-0.6681244,0.1663623,0.2473249,47.508,4.511,-377.13,0.0443155,0.4511356,-0.8908611,-0.0296527,-178.397,26.263,172.362
430136,-0.0971102,0.8787924,0.1265913,-0.4497424,-70.167,-3.04,4.775,0.0084814,0.6646579,0.7468603,0.0189137,-84.078,-6.992,-52.108,0.6817902,-0.6680116,0.1663875,0.2474629,47.481,4.565,-377.241,0.0444161,0.4507756,-0.891068,-0.0287482,-178.329,26.257,172.264
430144,-0.096661,0.8787644,0.1263017,-0.4499752,-70.104,-3.032,4.785,0.0089544,0.6649523,0.746607,0.018337,-83.964,-7.034,-52.067,0.6822757,-0.6674618,0.1666233,0.2474497,47.421,4.538,-377.131,0.0452319,0.4503541,-0.8912852,-0.0273116,-178.126,26.594,172.06
430152,-0.0963237,0.8788181,0.1262443,-0.4499587,-70.038,-2.953,4.86,0.0094396,0.6649267,0.7466337,0.0179295,-83.871,-6.897,-52.012,0.6826743,-0.6669218,0.167058,0.2475132,47.31,4.494,-376.988,0.0455855,0.4502447,-0.8913418,-0.026674,-178.034,26.983,171.995
430160,-0.096508,0.8787489,0.1265444,-0.4499701,-69.991,-3.036,4.876,0.0097698,0.6653023,0.7463029,0.0175885,-83.79,-6.992,-51.975,0.6829261,-0.666469,0.1673875,0.2478153,47.177,4.512,-377.047,0.0453907,0.4497772,-0.891623,-0.0254688,-177.916,27.148,172.018
430168,-0.0965183,0.8785962,0.1267545,-0.4502068,-69.994,-3.132,4.803,0.0099708,0.6655637,0.7460781,0.0171175,-83.8,-7.19,-52.01,0.6832267,-0.6660906,0.1674447,0.2479656,47.145,4.592,-377.157,0.0457388,0.4495294,-0.891756,-0.0245458,-177.871,27.236,171.924
430176,-0.09594,0.878574,0.1265911,-0.4504197,-69.944,-3.108,4.838,0.0104311,0.6653205,0.7463077,0.0162677,-83.766,-7.244,-52.067,0.683817,-0.6655006,0.1675132,0.2478762,47.128,4.614,-377.097,0.0461688,0.4495488,-0.8917614,-0.0231509,-177.802,27.499,171.827
430184,-0.095715,0.8785395,0.1265732,-0.4505398,-69.863,-3.084,4.854,0.0107965,0.6654608,0.7461889,0.0157337,-83.643,-7.177,-52.057,0.6842262,-0.664936,0.1678391,0.2480416,47.007,4.628,-376.99,0.0464088,0.449335,-0.8918803,-0.0222236,-177.676,27.823,171.777
430192,-0.0961249,0.8784458,0.1269791,-0.450521,-69.804,-3.173,4.84,0.0108366,0.6655557,0.7461045,0.0156914,-83.567,-7.218,-52.053,0.6842979,-0.6647503,0.1679321,0.2482787,46.923,4.719,-377.031,0.0461537,0.4492979,-0.8919209,-0.02187,-177.64,27.866,171.789
